FIPS,# STG Facs Reporting Expenses (2012),# STG Facs Reporting Expenses (2011),# STG Facs Reporting Expenses (2010),# STG Facs Reporting Expenses (2009),# STG Facs Reporting Expenses (2008),# STG Facs Reporting Expenses (2007),# STG Facs Reporting Expenses (2006),# STG Facs Reporting Expenses (2005),# STG Facs Reporting Expenses (2004),# STG Facs Reporting Expenses (2003),# STG Facs Reporting Expenses (2002),# STG Facs Reporting Expenses (2001),# STG Facs Reporting Expenses (2000),# STG Facs Reporting Expenses (1999),# STG Facs Reporting Expenses (1998),# STG Facs Reporting Expenses (1997),# STG Facs Reporting Expenses (1996),# STG Facs Reporting Expenses (1995),# STG Facs Reporting Expenses (1990),# STG Facs Reporting Expenses (1985),# STG Facs Reporting Expenses (1980),# STNG/LT Facs Reporting Expenses (2012),# STNG/LT Facs Reporting Expenses (2011),# STNG/LT Facs Reporting Expenses (2010),# STNG/LT Facs Reporting Expenses (2009),# STNG/LT Facs Reporting Expenses (2008),# STNG/LT Facs Reporting Expenses (2007),# STNG/LT Facs Reporting Expenses (2006),# STNG/LT Facs Reporting Expenses (2005),# STNG/LT Facs Reporting Expenses (2004),# STNG/LT Facs Reporting Expenses (2003),# STNG/LT Facs Reporting Expenses (2002),# STNG/LT Facs Reporting Expenses (2001),# STNG/LT Facs Reporting Expenses (2000),# STNG/LT Facs Reporting Expenses (1999),# STNG/LT Facs Reporting Expenses (1998),# STNG/LT Facs Reporting Expenses (1997),# STNG/LT Facs Reporting Expenses (1996),# STNG/LT Facs Reporting Expenses (1995),# STNG/LT Facs Reporting Expenses (1990),# STNG/LT Facs Reporting Expenses (1985),# STNG/LT Facs Reporting Expenses (1980),# Vet Facs Reporting Expenses (2012),# Vet Facs Reporting Expenses (2011),# Vet Facs Reporting Expenses (2010),# Vet Facs Reporting Expenses (2009),# Vet Facs Reporting Expenses (2008),# Vet Facs Reporting Expenses (2007),# Vet Facs Reporting Expenses (2006),# Vet Facs Reporting Expenses (2005),# Vet Facs Reporting Expenses (2004),# Vet Facs Reporting Expenses (2003),# Vet Facs Reporting Expenses (2002),# Vet Facs Reporting Expenses (2001),# Vet Facs Reporting Expenses (2000),# Vet Facs Reporting Expenses (1999),# Vet Facs Reporting Expenses (1998),# Vet Facs Reporting Expenses (1997),# Vet Facs Reporting Expenses (1996),# Vet Facs Reporting Expenses (1995),# STG Facs Rprt Payroll Expenses (2012),# STG Facs Rprt Payroll Expenses (2011),# STG Facs Rprt Payroll Expenses (2010),# STG Facs Rprt Payroll Expenses (2009),# STG Facs Rprt Payroll Expenses (2008),# STG Facs Rprt Payroll Expenses (2007),# STG Facs Rprt Payroll Expenses (2006),# STG Facs Rprt Payroll Expenses (2005),# STG Facs Rprt Payroll Expenses (2004),# STG Facs Rprt Payroll Expenses (2003),# STG Facs Rprt Payroll Expenses (2002),# STG Facs Rprt Payroll Expenses (2001),# STG Facs Rprt Payroll Expenses (2000),# STG Facs Rprt Payroll Expenses (1999),# STG Facs Rprt Payroll Expenses (1998),# STG Facs Rprt Payroll Expenses (1997),# STG Facs Rprt Payroll Expenses (1996),# STG Facs Rprt Payroll Expenses (1995),# STG Facs Rprt Payroll Expenses (1990),# STG Facs Rprt Payroll Expenses (1985),# STG Facs Rprt Payroll Expenses (1980),# STNG/LT Facs Rprt Payroll Expenses (2012),# STNG/LT Facs Rprt Payroll Expenses (2011),# STNG/LT Facs Rprt Payroll Expenses (2010),# STNG/LT Facs Rprt Payroll Expenses (2009),# STNG/LT Facs Rprt Payroll Expenses (2008),# STNG/LT Facs Rprt Payroll Expenses (2007),# STNG/LT Facs Rprt Payroll Expenses (2006),# STNG/LT Facs Rprt Payroll Expenses (2005),# STNG/LT Facs Rprt Payroll Expenses (2004),# STNG/LT Facs Rprt Payroll Expenses (2003),# STNG/LT Facs Rprt Payroll Expenses (2002),# STNG/LT Facs Rprt Payroll Expenses (2001),# STNG/LT Facs Rprt Payroll Expenses (2000),# STNG/LT Facs Rprt Payroll Expenses (1999),# STNG/LT Facs Rprt Payroll Expenses (1998),# STNG/LT Facs Rprt Payroll Expenses (1997),# STNG/LT Facs Rprt Payroll Expenses (1996),# STNG/LT Facs Rprt Payroll Expenses (1995),# STNG/LT Facs Rprt Payroll Expenses (1990),# STNG/LT Facs Rprt Payroll Expenses (1985),# STNG/LT Facs Rprt Payroll Expenses (1980),STG Tot Rep Pyrl Expense(1000's) (2012),STG Tot Rep Pyrl Expense(1000's) (2011),STG Tot Rep Pyrl Expense(1000's) (2010),STG Tot Rep Pyrl Expense(1000's) (2009),STG Tot Rep Pyrl Expense(1000's) (2008),STG Tot Rep Pyrl Expense(1000's) (2007),STG Tot Rep Pyrl Expense(1000's) (2006),STG Tot Rep Pyrl Expense(1000's) (2005),STG Tot Rep Pyrl Expense(1000's) (2004),STG Tot Rep Pyrl Expense(1000's) (2003),STG Tot Rep Pyrl Expense(1000's) (2002),STG Tot Rep Pyrl Expense(1000's) (2001),STG Tot Rep Pyrl Expense(1000's) (2000),STG Tot Rep Pyrl Expense(1000's) (1999),STG Tot Rep Pyrl Expense(1000's) (1998),STG Tot Rep Pyrl Expense(1000's) (1997),STG Tot Rep Pyrl Expense(1000's) (1996),STG Tot Rep Pyrl Expense(1000's) (1995),STG Tot Rep Pyrl Expense(1000's) (1990),STG Tot Rep Pyrl Expense(1000's) (1985),STG Tot Rep Pyrl Expense(1000's) (1980),STNG/LT Tot Rep Pyrl Expense(1000's) (2012),STNG/LT Tot Rep Pyrl Expense(1000's) (2011),STNG/LT Tot Rep Pyrl Expense(1000's) (2010),STNG/LT Tot Rep Pyrl Expense(1000's) (2009),STNG/LT Tot Rep Pyrl Expense(1000's) (2008),STNG/LT Tot Rep Pyrl Expense(1000's) (2007),STNG/LT Tot Rep Pyrl Expense(1000's) (2006),STNG/LT Tot Rep Pyrl Expense(1000's) (2005),STNG/LT Tot Rep Pyrl Expense(1000's) (2004),STNG/LT Tot Rep Pyrl Expense(1000's) (2003),STNG/LT Tot Rep Pyrl Expense(1000's) (2002),STNG/LT Tot Rep Pyrl Expense(1000's) (2001),STNG/LT Tot Rep Pyrl Expense(1000's) (2000),STNG/LT Tot Rep Pyrl Expense(1000's) (1999),STNG/LT Tot Rep Pyrl Expense(1000's) (1998),STNG/LT Tot Rep Pyrl Expense(1000's) (1997),STNG/LT Tot Rep Pyrl Expense(1000's) (1996),STNG/LT Tot Rep Pyrl Expense(1000's) (1995),STNG/LT Tot Rep Pyrl Expense(1000's) (1990),STNG/LT Tot Rep Pyrl Expense(1000's) (1985),STNG/LT Tot Rep Pyrl Expense(1000's) (1980),STG Total Rep Fac Exp (1000's) (2012),STG Total Rep Fac Exp (1000's) (2011),STG Total Rep Fac Exp (1000's) (2010),STG Total Rep Fac Exp (1000's) (2009),STG Total Rep Fac Exp (1000's) (2008),STG Total Rep Fac Exp (1000's) (2007),STG Total Rep Fac Exp (1000's) (2006),STG Total Rep Fac Exp (1000's) (2005),STG Total Rep Fac Exp (1000's) (2004),STG Total Rep Fac Exp (1000's) (2003),STG Total Rep Fac Exp (1000's) (2002),STG Total Rep Fac Exp (1000's) (2001),STG Total Rep Fac Exp (1000's) (2000),STG Total Rep Fac Exp (1000's) (1999),STG Total Rep Fac Exp (1000's) (1998),STG Total Rep Fac Exp (1000's) (1997),STG Total Rep Fac Exp (1000's) (1996),STG Total Rep Fac Exp (1000's) (1995),STG Total Rep Fac Exp (1000's) (1990),STG Total Rep Fac Exp (1000's) (1985),STG Total Rep Fac Exp (1000's) (1980),STNG/LT Total Rep Fac Exp (1000's) (2012),STNG/LT Total Rep Fac Exp (1000's) (2011),STNG/LT Total Rep Fac Exp (1000's) (2010),STNG/LT Total Rep Fac Exp (1000's) (2009),STNG/LT Total Rep Fac Exp (1000's) (2008),STNG/LT Total Rep Fac Exp (1000's) (2007),STNG/LT Total Rep Fac Exp (1000's) (2006),STNG/LT Total Rep Fac Exp (1000's) (2005),STNG/LT Total Rep Fac Exp (1000's) (2004),STNG/LT Total Rep Fac Exp (1000's) (2003),STNG/LT Total Rep Fac Exp (1000's) (2002),STNG/LT Total Rep Fac Exp (1000's) (2001),STNG/LT Total Rep Fac Exp (1000's) (2000),STNG/LT Total Rep Fac Exp (1000's) (1999),STNG/LT Total Rep Fac Exp (1000's) (1998),STNG/LT Total Rep Fac Exp (1000's) (1997),STNG/LT Total Rep Fac Exp (1000's) (1996),STNG/LT Total Rep Fac Exp (1000's) (1995),STNG/LT Total Rep Fac Exp (1000's) (1990),STNG/LT Total Rep Fac Exp (1000's) (1985),STNG/LT Total Rep Fac Exp (1000's) (1980),Vet Total Rep Fac Exp (1000's) (2012),Vet Total Rep Fac Exp (1000's) (2011),Vet Total Rep Fac Exp (1000's) (2010),Vet Total Rep Fac Exp (1000's) (2009),Vet Total Rep Fac Exp (1000's) (2008),Vet Total Rep Fac Exp (1000's) (2007),Vet Total Rep Fac Exp (1000's) (2006),Vet Total Rep Fac Exp (1000's) (2005),Vet Total Rep Fac Exp (1000's) (2004),Vet Total Rep Fac Exp (1000's) (2003),Vet Total Rep Fac Exp (1000's) (2002),Vet Total Rep Fac Exp (1000's) (2001),Vet Total Rep Fac Exp (1000's) (2000),Vet Total Rep Fac Exp (1000's) (1999),Vet Total Rep Fac Exp (1000's) (1998),Vet Total Rep Fac Exp (1000's) (1997),Vet Total Rep Fac Exp (1000's) (1996),Vet Total Rep Fac Exp (1000's) (1995)
1000,93,98,98,100,101,101,101,101,102,103,103,104,105,106,109,110,114,115,123,134,135,28,27,30,31,28,29,28,28,19,17,18,17,17,16,18,19,19,20,17,13,12,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,93,98,98,100,101,101,101,101,102,103,103,104,105,106,109,110,114,115,123,134,135,28,27,30,31,28,29,28,28,19,17,18,17,17,16,18,19,19,20,17,13,12,3504242,3339733,3250045,3218106,3237580,3053446,2925905,2874052,2631770,2501400,2384433,2308326,2233666,2122017,2119355,2119072,2100776,1950599,1407195,977818,616105,642133,637143,615728,664377,587387,555360,502228,437644,353999,364269,340640,265640,292960,217869,276631,308984,295810,297720,172037,106141,81544,8948864,8256997,8255675,8107165,8096701,7669734,7375746,7042645,6630206,6317467,5697362,5666817,5446827,5217554,5064924,5075369,5003740,4657337,3304833,2172500,1288442,1383780,1375760,1343244,1462562,1259441,1188742,1066694,954419,747543,742967,669759,527915,577426,431406,524793,568352,523243,535063,325719,189044,139113,870134,867029,769487,644792,572093,441398,526134,477557,443355,331928,330706,255865,302904,262684,240775,297684,274229,238289
2000,21,24,24,24,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,25,25,6,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,24,24,24,23,23,23,23,23,24,24,24,24,24,24,24,24,24,24,25,25,6,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,3,3,3,2,1,745653,772650,701983,776328,693530,640583,670325,602340,526727,552759,512978,454736,426597,380749,416132,338283,337650,320564,225128,169713,84901,79025,39864,38754,35647,52369,25440,20776,27622,20848,24684,22599,18569,17416,14739,13064,16241,13189,11423,18882,9999,5558,1878299,1903343,1687545,1910532,1700901,1608734,1573927,1448467,1250653,1222454,1123545,1079651,941320,829118,873479,752919,776869,707943,477761,321708,151547,145306,80903,82728,85689,107800,49248,39997,52126,40307,41824,32115,33671,30577,26235,25983,29455,24520,24680,27136,18819,8056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4000,71,75,75,74,73,73,67,70,68,68,67,67,67,69,73,71,73,73,76,76,77,31,24,26,24,26,20,25,22,17,14,14,14,14,14,19,20,17,17,16,10,6,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,71,75,75,74,73,73,67,70,68,68,67,67,67,69,73,71,73,73,76,76,77,31,24,26,24,26,20,25,22,17,14,14,14,14,14,19,20,17,17,16,10,6,4993796,5167167,4824375,4730343,4515197,4201288,3839656,3517993,2934970,2868145,2617231,2271597,2213210,2009253,1862084,1722397,1720635,1672286,1199422,836830,487944,653684,459577,591702,546891,567548,424874,442934,280930,330169,206226,182483,220839,137960,145660,172602,157458,120711,111001,87499,44137,16034,12743923,12652433,11900719,11335587,10719405,10157507,9353485,8652526,7226949,6841488,6264470,5414808,5195191,4885552,4507474,4204995,4171840,3861930,2786322,1814443,992638,1630699,1109319,1346488,1222759,1282707,940485,1049010,690920,780083,461021,411951,490666,308311,304601,353555,338446,269431,248623,209676,101549,27814,1019461,971328,884429,874180,663241,686869,752117,607116,596015,453606,570245,459806,337069,327836,283694,289012,270100,270270
5000,74,74,74,77,76,79,78,81,81,83,81,78,78,78,81,79,80,81,86,98,95,29,29,31,30,31,26,28,26,24,22,22,18,17,16,15,15,15,15,11,7,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,74,74,74,77,76,79,78,81,81,83,81,78,78,78,81,79,80,81,86,98,95,29,29,31,30,31,26,28,26,24,22,22,18,17,16,15,15,15,15,11,7,4,2203585,2095893,2025870,2106735,1927067,1872217,1786978,1711958,1631488,1603998,1475057,1343131,1301376,1270393,1212786,1125012,1071339,1004433,772732,540856,318551,421836,411984,434224,384987,394484,317394,305853,274484,255308,239475,216805,171030,175890,173343,159298,140503,149776,142480,93301,43526,20305,5943595,5399190,5185069,5294816,4900935,4718387,4546653,4369344,4093724,3933132,3613167,3371611,3154705,3021735,2884424,2626407,2545447,2377364,1755602,1116476,638226,957606,920435,979147,846190,871102,678887,685309,585088,525064,513321,486598,431131,380884,309237,330967,296822,303489,263451,193832,86551,32383,822791,794406,640235,698567,594718,547960,532169,497754,437073,364316,356295,349898,265694,268545,263573,246596,243828,250077
6000,339,342,337,342,353,352,347,351,356,360,376,378,381,391,400,410,417,420,457,491,517,80,77,85,77,75,77,87,85,74,77,73,71,72,74,75,78,81,81,97,87,89,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,339,342,337,342,353,352,347,351,356,360,376,378,381,391,400,410,417,420,457,491,517,80,77,85,77,75,77,87,84,74,77,73,71,72,74,75,78,81,81,97,87,89,33273515,31375704,29824646,28280489,27112398,23044063,22815070,21256308,20241293,19043632,17767877,16342857,15148461,14313476,13535064,12767080,12892461,12666285,10208661,7384715,4532156,3402909,3567973,3285906,3266575,2592987,2421643,2721086,2825085,2610505,2452845,1875375,1861291,1533191,1433987,1350207,1266091,1456141,1557567,1388594,831088,608724,83474956,77574910,72305003,67922456,64944774,57907100,55523061,52451635,49488108,46214767,42891275,39767025,37356557,35434937,32430776,30727757,30632286,30013944,23112436,15702571,9389005,8066713,8275693,7411345,7176672,6026972,5719774,5946358,6333721,5739041,5094211,4019814,3928347,3279220,2962401,2779987,2599574,2923460,3130904,2622553,1482327,998176,4113153,3705781,3190948,3221573,2748442,2552798,2106807,1902038,1948757,1774808,1985801,1755391,1465722,1454075,1350034,1265180,1349868,1206857
8000,74,75,74,75,72,72,72,70,68,68,68,67,69,67,69,67,68,69,71,85,84,23,20,21,20,24,21,19,20,17,14,14,15,13,14,14,16,17,20,16,15,18,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,74,75,74,75,72,72,72,70,68,68,68,67,69,67,69,67,68,69,71,85,84,23,20,21,20,24,21,19,20,17,14,14,15,13,14,14,16,17,20,16,15,18,4021647,3905996,3731431,3628399,3410120,3142184,2924222,2705365,2665021,2502656,2297808,2092740,1956564,1806753,1683337,1566033,1507495,1419319,1117089,827703,505055,696071,619944,612591,569656,543368,474817,433785,381903,354161,325581,316322,291987,298553,247791,222517,273022,241283,253494,226988,156818,96295,10522779,9701036,9287532,8810036,8371211,7745145,7082074,6574819,6219606,5825454,5361574,4852282,4428639,4076534,3814123,3606003,3530168,3299579,2419714,1662211,977149,1515907,1327107,1309673,1226090,1192304,1020309,912169,863648,757830,661830,605170,561748,572078,555358,450653,537120,498204,513888,402671,250967,150946,607748,532812,555774,344772,221411,224193,292882,225107,294629,275370,193561,165963,159683,158735,169499,204919,180159,180146
9000,29,30,30,30,31,30,30,30,31,31,31,31,31,31,31,33,33,34,36,38,39,16,16,16,17,17,17,17,18,16,17,17,17,18,18,19,19,19,22,28,27,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,29,30,30,30,31,30,30,30,31,31,31,31,31,31,31,33,33,34,36,38,39,16,16,16,17,17,17,17,18,16,17,17,17,18,18,19,19,19,22,28,27,30,3889294,3881733,3704598,3610671,3434899,3104207,2937097,2730170,2642974,2500514,2353163,2182795,2017191,1991647,1921459,1945815,1920317,1870587,1631087,988727,603480,444364,442217,495342,422004,349760,434405,444672,475931,338315,326368,340297,284180,277317,258442,219217,191596,226533,241890,287543,212258,149535,9585506,9182783,8694827,8240533,7760096,7082139,6739422,6111434,5906420,5602794,5085538,4631570,4311919,4290168,4064454,3968301,3850281,3814418,3034482,1855379,1112260,992975,950425,939153,844015,678650,830500,891149,955954,699175,587323,645979,513045,500262,507707,413747,362309,397272,418121,486840,340702,222646,501693,265297,255453,193473,159033,144677,190805,184019,202048,253618,142196,118616,108977,180193,113634,178145,175718,188855
10000,6,6,6,6,6,6,6,7,7,7,7,7,6,6,7,7,8,9,9,9,9,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,6,6,7,7,7,7,7,6,6,7,7,8,9,9,9,9,6,6,6,6,6,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,6,1104692,1034817,999531,960314,910539,840359,761852,741244,685920,646427,563294,527752,492150,439304,455174,413548,404765,401739,277818,169307,102051,180876,158622,149115,141307,144031,130263,128047,111192,96767,104053,94360,86145,49519,38150,61072,52611,35274,73837,45009,40214,31253,2502030,2292544,2260185,2177228,2013138,1859360,1745274,1668812,1526303,1400253,1158058,1135549,1072426,981195,949163,889565,837276,836978,570607,326977,192053,473908,406568,391199,359072,368016,328655,283699,278202,234183,236905,207219,186759,87365,123446,126765,123246,64761,141051,90453,75174,51729,216203,198973,224485,197670,169865,140082,143650,101835,95568,87352,71379,67000,51957,50434,57621,48257,67448,53331
11000,8,10,9,10,10,10,9,9,10,10,10,10,10,11,11,11,11,11,11,12,12,7,5,6,6,6,6,7,7,6,6,6,6,7,7,7,6,6,6,6,5,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,10,9,10,10,10,9,9,10,10,10,10,10,11,11,11,11,11,11,12,12,7,5,6,6,6,6,7,7,6,6,6,6,7,7,7,6,6,6,6,5,5,1520639,1551282,1487691,1606375,1550984,1404748,1312601,1284990,1171755,1117413,1137440,1073574,872545,979462,886346,885196,806849,982930,813951,652306,396988,462950,403267,429183,414391,379981,367860,368468,313807,260100,229099,232419,214517,229766,234712,226934,206681,272209,215324,251644,169793,130840,3492768,3494354,3265008,3596794,3535214,3170023,2888568,2990982,2752024,2603740,2472827,2291507,1853737,2087205,1862858,1918250,1838964,1887421,1614037,1124011,690696,1004915,819614,847938,839943,773189,724358,720191,611550,520500,449313,446075,412826,456512,472548,445266,420584,520422,426250,482470,269575,204381,426491,426311,371685,223006,334580,210506,203236,303848,256751,230494,208221,182049,184592,162342,173394,178103,166192,160379
12000,193,194,191,191,194,193,197,198,198,196,194,193,194,198,199,203,207,209,227,232,223,60,59,58,55,57,54,56,56,43,45,45,49,51,53,62,64,59,61,69,47,40,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,193,194,191,191,194,193,197,198,198,196,194,193,194,198,199,203,207,209,227,232,223,60,59,58,55,57,54,56,56,43,45,45,49,51,53,62,64,59,61,69,47,40,15544761,15035160,14416739,14011192,13531260,12872022,12350764,11435094,11035621,10275292,9936272,8798901,8230165,7400362,7192819,6950273,6637476,6391464,4764418,3153708,1692421,1474633,1383891,1298499,1166306,1064525,1015637,1029901,923148,786046,754602,717652,668387,644199,627403,670764,661312,602760,625124,481343,251356,195129,41134162,37200062,36509093,35144250,33791767,32220260,30655236,28579095,28169072,25106789,23858982,21110242,19847901,18033342,17134019,16637838,15919904,15498865,11462538,7113892,3589061,3330458,3107464,2859765,2686389,2445877,2283215,2269493,2091384,1771962,1628082,1545441,1433591,1359410,1297987,1379587,1361568,1241624,1303694,1000885,463080,330052,2455549,2040678,1876853,1782457,1864890,1646850,1682111,1316462,1675730,1132558,1439097,1280760,1116328,998618,848884,838236,813572,769699
13000,139,144,144,143,144,144,146,146,144,144,144,147,154,153,158,159,160,161,169,171,173,39,39,38,41,42,41,39,40,32,33,33,33,29,35,37,38,39,38,42,35,28,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,139,144,144,143,144,144,146,146,144,144,144,147,154,153,158,159,160,161,169,171,173,39,39,38,41,42,41,39,40,32,33,33,33,29,35,37,38,39,38,42,35,28,6985691,6727601,6555190,6239835,5980804,5848752,5700442,5325661,4953161,4782158,4583151,4151309,4243796,3431090,3527988,3341409,3270267,3200533,2402325,1499088,857892,953760,920047,1017226,1127326,1178937,1104142,951885,968781,899268,740008,689100,705927,370538,720508,538546,623243,556964,527502,394381,214726,126203,17783573,16716357,16242822,15531021,14847562,14623383,13981520,13246761,12156170,11453809,10714141,9923417,9880937,8312791,8215612,7724236,7671876,7306722,5329765,3065822,1703125,2116628,2030684,2085726,2357621,2429077,2288740,1872681,1911155,1695859,1373784,1223360,1342018,681635,1443269,1062998,1305939,1104947,1070919,803244,401737,206619,907089,893128,1080220,1024430,619860,594317,381585,539334,644260,509485,547998,506359,490738,564107,369137,363931,345501,339379
