"FIPS","State Name","Population White Male 65+ (2012)","Population White Male 65+ (2011)","Population White Male 65+ (2009)","Population White Male 65+ (2008)","Population White Male 65+ (2007)","Population White Male 65+ (2006)","Population White Male 65+ (2005)","Population White Male 65+ (2004)","Population White Male 65+ (2003)","Population White Male 65+ (2002)","Population White Male 65+ (2001)","Population White Male 65+ (2000)","Population White Female 65+ (2012)","Population White Female 65+ (2011)","Population White Female 65+ (2009)","Population White Female 65+ (2008)","Population White Female 65+ (2007)","Population White Female 65+ (2006)","Population White Female 65+ (2005)","Population White Female 65+ (2004)","Population White Female 65+ (2003)","Population White Female 65+ (2002)","Population White Female 65+ (2001)","Population White Female 65+ (2000)","Population Black/Afr Am Male 65+ (2012)","Population Black/Afr Am Male 65+ (2011)","Population Black/Afr Am Male 65+ (2009)","Population Black/Afr Am Male 65+ (2008)","Population Black/Afr Am Male 65+ (2007)","Population Black/Afr Am Male 65+ (2006)","Population Black/Afr Am Male 65+ (2005)","Population Black/Afr Am Male 65+ (2004)","Population Black/Afr Am Male 65+ (2003)","Population Black/Afr Am Male 65+ (2002)","Population Black/Afr Am Male 65+ (2001)","Population Black/Afr Am Male 65+ (2000)","Population Black/Afr Am Female 65+ (2012)","Population Black/Afr Am Female 65+ (2011)","Population Black/Afr Am Female 65+ (2009)","Population Black/Afr Am Female 65+ (2008)","Population Black/Afr Am Female 65+ (2007)","Population Black/Afr Am Female 65+ (2006)","Population Black/Afr Am Female 65+ (2005)","Population Black/Afr Am Female 65+ (2004)","Population Black/Afr Am Female 65+ (2003)","Population Black/Afr Am Female 65+ (2002)","Population Black/Afr Am Female 65+ (2001)","Population Black/Afr Am Female 65+ (2000)","Population Estimate (2012)","Population Estimate (2011)","Census Population (2010)","Population Estimate (2009)","Population Estimate (2008)","Population Estimate (2007)","Population Estimate (2006)","Population Estimate (2005)","Population Estimate (2004)","Population Estimate (2003)","Population Estimate (2002)","Population Estimate (2001)","Census Population (2000)","Total Hospital Beds (2012)","Total Hospital Beds (2011)","Total Hospital Beds (2010)","Total Hospital Beds (2009)","Total Hospital Beds (2008)","Total Hospital Beds (2007)","Total Hospital Beds (2006)","Total Hospital Beds (2005)","Total Hospital Beds (2004)","Total Hospital Beds (2003)","Total Hospital Beds (2002)","Total Hospital Beds (2001)","Total Hospital Beds (2000)","Pop White Male 65-74 (2010)","Pop White Male 75-84 (2010)","Pop White Male 85+ (2010)","Pop White Female 65-74 (2010)","Pop White Female 75-84 (2010)","Pop White Female 85+ (2010)","Pop Black/AA Male 65-74 (2010)","Pop Black/AA Male 75-84 (2010)","Pop Black/AA Male 85+ (2010)","Pop Black/AA Female 65-74 (2010)","Pop Black/AA Female 75-84 (2010)","Pop Black/AA Female 85+ (2010)"
"01000","Alabama","245876","235067","222766","217809","211428","206831","203332","200258","196530","193965","191880","189686","317409","306879","302310","298303","291875","288310","281423","279913","278676","277466","276636","275567","48641","46454","43043","42763","41911","41342","41178","40765","40424","40770","40660","40442","75711","73450","72463","73026","71432","70727","70381","69822","69912","70311","70236","70123","4822023","4802740","4779736","4708708","4661900","4627851","4599030","4557808","4530182","4500752","4486508","4464356","4447100","17732","18531","18197","18546","18222","18724","18087","17658","17120","17946","18549","19371","19001","138049","71786","18897","158392","100807","42043","28501","12649","3689","38170","23324","10265"
"04000","Arizona","415602","393874","363698","362688","345041","329914","318148","307738","301474","296212","290175","283989","486758","463572","443234","441827","421752","410103","393437","381612","372233","367560","361144","354803","9264","8569","7986","7674","7121","6672","6093","5693","5169","4684","4484","4236","11234","10512","10039","9617","8846","8432","7681","7178","6384","6038","5776","5475","6553255","6482505","6392017","6595778","6500180","6338755","6166318","5939292","5743834","5580811","5456453","5307331","5130632","16010","15594","15807","15715","15374","14482","13888","13587","13045","12696","12856","12579","12441","211220","117441","35163","231412","138352","60976","5196","2097","455","5753","2802","1019"
"05000","Arkansas","174971","169049","159421","155928","151713","148046","145996","143921","141859","141117","140201","139150","219269","213508","208615","205470","201121","199102","196298","195064","194175","193943","193834","193571","15978","15435","14363","14513","14095","13601","13515","13503","13323","13450","13590","13757","23944","23330","23116","23740","23156","23201","22879","22848","22849","22894","23248","23587","2949131","2937979","2915918","2889450","2855390","2834797","2810872","2779154","2752629","2725714","2710079","2692090","2673400","11168","11146","11235","11271","11391","11194","11017","11153","11148","11446","11407","10985","11034","98233","51187","14838","109496","68917","30903","9226","4107","1434","11864","7372","3519"
"06000","California","1588819","1515774","1425180","1412332","1371186","1350565","1322533","1314261","1306589","1296861","1280767","1263107","2002984","1930462","1876872","1869869","1827653","1802384","1792129","1786746","1767411","1754555","1744781","1732824","103945","99671","90357","89009","87191","85379","83654","82018","81401","79404","77145","74782","144026","138456","131264","128820","126417","123168","121427","119466","117298","114535","112308","110000","38041430","37691912","37253956","36961664","36756666","36553215","36457549","36132147","35893799","35484453","35116033","34501130","33871648","85738","85122","86519","84802","86232","85732","86174","87489","88498","89548","91524","90753","89116","754586","436962","166132","853058","577247","310646","58841","26929","7909","72640","40121","17703"
"08000","Colorado","258185","241031","220339","210172","201618","195564","190006","183883","179207","175934","172450","168880","315144","297643","280087","269896","261394","253590","248518","241692","237493","235111","231883","228529","7451","6957","6343","6004","5706","5546","5330","5176","5100","4760","4546","4298","9305","8849","8369","7814","7610","7420","7104","6819","6694","6299","5978","5693","5187582","5116796","5029196","5024748","4939456","4861515","4753377","4665177","4601403","4550688","4506542","4417714","4301261","11919","11760","11803","11941","11920","11488","11310","11425","10948","11149","11214","11222","11054","133763","67409","21625","146419","88437","43705","4184","1943","344","4818","2558","903"
"09000","Connecticut","207397","199752","186131","182003","178880","178732","177632","177680","178287","179598","179257","178921","277234","270377","261365","257108","255678","254752","260871","261979","259370","261002","262007","263009","13413","12733","11335","10908","10683","10608","10104","9725","9613","9314","9008","8664","20794","19928","17940","17308","16915","16485","16407","15864","15434","14874","14379","13827","3590347","3580709","3574097","3518288","3501252","3502309","3504809","3510297","3503604","3483372","3460503","3425074","3405565","9650","9328","9834","9636","9677","9625","9672","9517","9512","9466","9478","9675","9422","104293","62933","25550","119805","89852","54743","7676","3294","871","10836","5604","2248"
"10000","Delaware","52555","49671","47119","45191","43621","42087","41604","40488","39692","39100","38501","37932","65261","62552","60618","58578","56844","56020","54985","53626","53116","52694","52039","51434","7686","7237","6404","6146","5906","5702","5418","5124","4883","4676","4610","4505","10910","10286","9419","8894","8575","8215","7917","7623","7162","7120","7016","6850","917092","907135","897934","885122","873092","864764","853476","843524","830364","817491","807385","796165","783600","2550","2656","2668","2668","2658","2858","2692","2487","2494","2662","2625","2612","2589","27813","15529","4484","31762","19713","9292","4458","1852","520","5682","2909","1138"
"12000","Florida","1415238","1350839","1276731","1276268","1243151","1206769","1197826","1173183","1166441","1148994","1142999","1135312","1723638","1660379","1607357","1607602","1566345","1556129","1531645","1505724","1494074","1479108","1474572","1468347","119090","112823","99346","97758","93280","88631","86882","82226","80159","76414","73553","70457","169522","160955","144179","142156","136369","131514","125915","120235","115511","112178","109633","106978","19317568","19057542","18801310","18537969","18328340","18251243","18089888","17789864","17397161","17019068","16713149","16396515","15982378","59271","57857","58802","58488","58950","58215","57841","57332","56112","56862","57303","58387","58061","709475","444229","147908","800515","548048","253269","66878","29848","7584","84929","46430","17470"
"13000","Georgia","381536","359086","332925","320989","306369","296718","284986","277129","268901","262116","257416","252445","484347","461258","447662","436154","421944","409773","392084","384164","382074","378834","374231","369434","92602","86809","77288","73966","70610","68326","64881","62008","57944","57298","56484","55544","146362","138929","129968","124822","120655","116322","109686","106242","101822","101134","100515","99580","9919945","9815210","9687653","9829211","9685744","9544750","9363941","9072576","8829383","8684715","8560310","8383915","8186453","29064","30245","30680","30983","31188","31233","30927","30947","30668","30510","30313","30502","30028","212779","101310","27210","238787","141810","62763","55271","20670","5355","76294","39219","16351"
"16000","Idaho","96534","91466","83580","80922","77553","74641","71947","69176","67586","65542","64470","63269","110260","105616","98801","96412","92908","90475","88434","86090","84832","82598","81606","80547","209","181","211","205","179","161","143","128","107","114","105","92","170","168","223","205","164","153","137","118","111","84","82","78","1595728","1584985","1567582","1545801","1523816","1499402","1466465","1429096","1393262","1366332","1341131","1321006","1293953","3938","3883","3927","4030","4132","3893","3932","3910","3950","3928","3875","3926","3952","51582","26201","8736","53456","31755","15879","109","35","12","81","38","16"
"17000","Illinois","613906","591426","568016","559608","547550","542726","537973","534914","529893","526805","526969","526976","813920","793846","789157","784771","775577","770386","774418","773569","770942","770438","775848","780964","75117","72734","67814","66693","65887","65626","64511","63941","62848","62117","61569","60903","117734","114496","109946","107640","106167","104733","104964","103250","100432","99609","98556","97428","12875255","12869257","12830632","12910409","12901563","12852548","12831970","12763371","12713634","12653544","12600620","12482301","12419293","37018","37154","37995","38511","39638","39574","39543","39555","39831","41201","43056","44132","43916","317416","183658","64742","366823","260404","143417","43773","20848","5550","61688","35332","14080"
"18000","Indiana","356551","342109","322442","315423","306770","302123","298156","294919","290591","287775","286437","285017","467529","453685","446172","440219","432170","426735","425717","423801","420029","418511","419293","419764","20796","20167","19051","18727","18414","18228","17952","17751","17486","17389","17212","16973","31189","30244","29399","28888","28194","27901","27536","27398","27118","26640","26363","25972","6537334","6516922","6483802","6423113","6376792","6345289","6313520","6271973","6237569","6195643","6159068","6114745","6080485","20527","20484","20940","20661","21088","20816","20960","20711","21224","21426","21413","21644","21896","193708","104620","33629","221047","149497","75057","12103","5730","1578","16147","9406","3872"
"19000","Iowa","199131","192352","182467","182101","178754","177234","176505","175263","174731","173549","173958","174356","260953","255823","252589","253589","251259","250549","251381","250592","251527","252266","253794","255435","2231","2064","1886","1833","1762","1681","1630","1617","1583","1532","1508","1467","2747","2651","2548","2489","2444","2296","2306","2262","2282","2109","2081","2054","3074186","3062309","3046355","3007856","3002555","2988046","2982085","2966334","2954451","2944062","2936760","2923179","2926324","10551","10589","10685","10986","11163","11187","11216","12083","12335","12387","12717","13073","13396","102765","62932","23066","115492","87699","50705","1276","541","135","1397","825","319"
"20000","Kansas","161723","156083","145893","145350","141855","141637","142098","140530","138769","138642","138701","138680","208149","203325","199860","199970","197585","196251","195755","195303","196016","198121","199269","200260","5916","5656","5175","5158","5088","4890","4980","4873","4807","4754","4710","4638","8379","8162","7785","7713","7630","7423","7452","7321","7455","7180","7163","7127","2885905","2871238","2853118","2818747","2802134","2775997","2764075","2744687","2735502","2723507","2715884","2694641","2688418","12064","12073","12114","12222","12343","12418","12292","12024","12409","12565","12692","13224","13278","82496","50244","18512","92640","68725","38314","3354","1597","447","4312","2535","1035"
"21000","Kentucky","251240","240558","225845","222882","215199","209986","206620","202530","197475","195722","194410","192967","324829","314572","308611","307440","299777","294379","287459","284969","283170","283257","283133","282685","12127","11532","10971","10974","10738","10154","9982","10013","9990","9963","9963","9910","18252","17618","17358","17474","17121","16527","16232","16115","16297","15926","15969","16012","4380415","4369356","4339367","4314113","4269245","4241474","4206074","4173405","4145922","4117827","4092891","4065556","4041769","16529","16511","16620","16558","16528","16699","16869","16957","16958","16742","16876","17000","16701","142401","71026","19895","161918","101642","45233","6812","3265","929","9081","5496","2530"
"22000","Louisiana","195875","187338","178681","173157","167296","167374","167786","165869","164099","162040","161283","160392","250473","242661","240966","235736","229155","230772","232417","231979","232084","231154","231618","231781","54576","52110","47544","46346","44586","44154","47014","46338","45727","45612","45536","45437","81711","78780","75961","74561","71456","71609","75447","74770","74150","74189","73790","73451","4601893","4574836","4533372","4492076","4410796","4293204","4287768","4523628","4515770","4496334","4482646","4465430","4468976","19045","19061","19611","20007","20795","19468","19888","20836","21162","21698","21708","22108","21087","107352","57619","16478","121668","81061","34443","31828","13936","3963","42500","23648","9596"
"23000","Maine","99364","94040","87663","84490","82305","81154","81168","79711","78386","77278","76458","75541","123292","118805","115121","112008","110098","109182","109487","108030","108080","107290","107005","106642","396","348","292","268","242","214","182","183","169","165","152","142","368","295","276","259","256","213","187","192","176","146","131","120","1329192","1328188","1328361","1318301","1316456","1317207","1321574","1321505","1317253","1305728","1294464","1286670","1274923","4003","4035","4060","4062","3995","4021","4001","4042","4083","4238","4249","4415","4261","52655","29106","9231","57840","39337","19640","217","73","27","166","73","38"
"24000","Maryland","241080","229962","217927","215003","208180","205583","203627","202222","201443","199269","197162","194720","311491","300821","293546","291178","286084","281082","283043","281852","282520","280264","279194","277724","66080","62853","57636","55044","53187","52990","51087","48868","45500","44738","43652","42718","101964","96958","91219","86350","84129","82044","79668","76711","71987","70589","69308","67885","5884563","5828289","5773552","5699478","5633597","5618344","5615727","5600388","5558058","5508909","5458137","5375156","5296486","15387","15894","15940","16075","16280","15995","15326","15434","15509","15340","16130","16114","16361","125950","69879","25680","141918","97433","53565","38769","16861","4202","53262","27773","11486"
"25000","Massachusetts","372782","356083","342095","331629","325895","324962","325091","325143","324129","326726","325796","324710","507441","492040","490300","481020","476288","475499","474782","478024","482538","488867","491165","493111","16591","15739","13071","12276","11919","11689","11357","11127","11013","10757","10322","9889","25528","24193","20645","19398","19007","18935","18184","17770","17620","16941","16359","15786","6646144","6587536","6547629","6593587","6497967","6449755","6437193","6398743","6416505","6433422","6427801","6379304","6349097","20812","21349","21825","21629","22882","22590","22769","22398","22538","22345","22570","23201","23165","187837","112909","42377","220462","164117","94921","8663","3851","1136","11814","6668","2687"
"26000","Michigan","557308","533430","507696","492405","480337","471934","464659","459048","454553","453522","450450","447313","707934","686379","673335","658838","649770","641659","647800","644398","638325","635812","635974","635808","56970","54671","50617","49306","48542","47948","48046","47330","48235","48271","47928","47793","85885","82772","78745","76816","75894","75001","75619","74554","74962","74364","73830","73139","9883360","9876187","9883640","9969727","10003422","10071822","10095643","10120860","10112620","10079985","10050446","9990817","9938444","28216","28356","28568","28599","28766","28678","29224","29387","28720","29068","29199","29256","29058","297574","165580","55541","330393","227309","116902","31785","15949","5074","42347","26528","11540"
"27000","Minnesota","308648","295260","278382","268766","261737","258104","255342","251975","247906","244290","242828","240992","389784","377236","368067","358909","352616","348631","348484","344688","343451","340027","339663","339060","5445","5090","3945","3496","3319","3174","2995","2881","2834","2638","2466","2354","6930","6509","5107","4729","4588","4393","4224","4024","3805","3535","3351","3191","5379139","5344861","5303925","5266214","5220393","5197621","5167101","5132799","5100958","5059375","5019720","4972294","4919479","15980","16218","16592","16980","17153","18028","18097","18432","18638","19053","19109","19061","19143","159931","92039","33472","175976","122084","70743","3147","1236","306","3776","1730","542"
